Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATASTEEL,EQ,2-Jan-17,391.25,393.45,408.35,388.9,406.2,406.75,400.54,5578129,2234285880,60588,978184,17.54
TATASTEEL,EQ,3-Jan-17,406.75,407.05,408.9,401.25,402.35,403.3,404.44,3338806,1350333812,33408,467641,14.01
TATASTEEL,EQ,4-Jan-17,403.3,404.1,409,401.4,405.2,405.45,405.42,3344043,1355742992,39997,758486,22.68
TATASTEEL,EQ,5-Jan-17,405.45,409.1,422.5,407.3,419.05,419.3,416.74,7196279,2998972632,79299,2122808,29.5
TATASTEEL,EQ,6-Jan-17,419.3,420.5,425.4,415.6,420,419.55,420.6,4138078,1740484151,53562,671238,16.22
TATASTEEL,EQ,9-Jan-17,419.55,423.7,424.2,419.35,421.15,422,422.21,3122769,1318462615,40260,754692,24.17
TATASTEEL,EQ,10-Jan-17,422,422.7,432.5,422.6,431.9,431.9,429.15,5118565,2196642517,68912,1271508,24.84
TATASTEEL,EQ,11-Jan-17,431.9,435.3,450.95,434.65,448.25,448.25,446.56,11431250,5104766908,118080,2904707,25.41
TATASTEEL,EQ,12-Jan-17,448.25,449,451.15,443.25,447.65,447.55,447.5,5361474,2399249490,72753,1085874,20.25
TATASTEEL,EQ,13-Jan-17,447.55,450,450.4,441.2,446.3,446.35,445.84,4232151,1886867481,47694,530051,12.52
TATASTEEL,EQ,16-Jan-17,446.35,444.25,459.5,443.25,459.5,458.45,455.88,6675950,3043405575,80835,1719670,25.76
TATASTEEL,EQ,17-Jan-17,458.45,459.05,459.6,450.9,454.7,454.25,454.44,3342717,1519072548,41386,539077,16.13
TATASTEEL,EQ,18-Jan-17,454.25,454.75,470,454.25,468.95,468.35,466.3,9116932,4251250439,123399,3003292,32.94
TATASTEEL,EQ,19-Jan-17,468.35,468.7,468.8,462.35,466.85,467.15,465.87,3445069,1604940560,44134,705597,20.48
TATASTEEL,EQ,20-Jan-17,467.15,466,467.8,452.6,455.5,454.5,459.96,4927321,2266346399,60610,1496746,30.38
TATASTEEL,EQ,23-Jan-17,454.5,450.9,464,450.6,462,461.8,460.61,4349975,2003646985,50319,757193,17.41
TATASTEEL,EQ,24-Jan-17,461.8,462,466.5,458.55,464.15,464.25,462.74,3731789,1726851807,45726,663782,17.79
TATASTEEL,EQ,25-Jan-17,464.25,467,476.75,466.1,468.5,469.5,471.59,6307571,2974610473,71151,1462397,23.18
TATASTEEL,EQ,27-Jan-17,469.5,469.85,473.8,463.35,468.55,469.3,469.44,4977414,2336584638,65351,1183325,23.77
TATASTEEL,EQ,30-Jan-17,469.3,468.5,468.5,460.15,462.2,462.05,463.46,3322749,1539949063,36688,863286,25.98
TATASTEEL,EQ,31-Jan-17,462.05,460.2,471.4,460.1,463.5,463.05,465.44,4543771,2114848786,47212,714052,15.71
TATASTEEL,EQ,1-Feb-17,463.05,464.05,475.9,457.15,474,474.6,467.97,5572616,2607830759,48320,1729879,31.04
TATASTEEL,EQ,2-Feb-17,474.6,473.5,480.9,466.25,477.2,476.95,472.73,5988117,2830779681,61800,2243138,37.46
TATASTEEL,EQ,3-Feb-17,476.95,476.9,480,468.15,472.15,472.8,473.8,5284757,2503924411,66969,1849686,35
